-6.999999999999999556e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.999999999999999556e-01,1.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
-1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000444e+00,2.800000000000000000e+01
5.280000000000000249e-01,4.033412887828162208e-01,1.640361428975745639e+01,4.440361428975745639e+01
5.786666666666666625e-01,4.892601431980906912e-01,9.974547937197073555e-01,4.540106908347716086e+01
5.786666666666666625e-01,3.031026252983293756e-01,1.861575178997613156e+00,4.726264426247477246e+01
5.786666666666666625e-01,1.169451073985680184e-01,1.861575178997613822e+00,4.912421944147238406e+01
3.813333333333333575e-01,1.169451073985680184e-01,1.973333333333333162e+00,5.109755277480572033e+01
3.813333333333333575e-01,3.031026252983293756e-01,1.861575178997613822e+00,5.295912795380333193e+01
3.813333333333333575e-01,4.892601431980906912e-01,1.861575178997613156e+00,5.482070313280094354e+01
3.813333333333333575e-01,6.754176610978520623e-01,1.861575178997613822e+00,5.668227831179855514e+01
5.786666666666666625e-01,6.754176610978520623e-01,1.973333333333333162e+00,5.865561164513189141e+01
7.760000000000000231e-01,6.754176610978520623e-01,1.973333333333333606e+00,6.062894497846522768e+01
7.760000000000000231e-01,4.892601431980906912e-01,1.861575178997613822e+00,6.249052015746283928e+01
7.760000000000000231e-01,3.031026252983293756e-01,1.861575178997613156e+00,6.435209533646045088e+01
7.760000000000000231e-01,1.169451073985680184e-01,1.861575178997613822e+00,6.621367051545806248e+01
1.839999999999999969e-01,1.169451073985680184e-01,5.920000000000000817e+00,7.213367051545806419e+01
1.839999999999999969e-01,3.031026252983293756e-01,1.861575178997613822e+00,7.399524569445567579e+01
5.280000000000000249e-01,4.033412887828162208e-01,3.583068373017129993e+00,7.757831406747280312e+01
5.280000000000000249e-01,4.033412887828162208e-01,1.000000000000000056e-01,1.109873277748057205e+02
-1.000000000000000000e+00,1.000000000000000000e+00,1.640361428975745639e+01,1.273909420645631769e+02
-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,1.274909420645631712e+02
-6.999999999999999556e-01,1.000000000000000000e+00,3.000000000000000444e+00,1.304909420645631712e+02
